DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag,Month
2024-08-02,01:00,NSPIN,0.2,N,2024-08
2024-08-02,01:00,RRS,0.9,N,2024-08
2024-08-02,01:00,REGDN,1.25,N,2024-08
2024-08-02,01:00,REGUP,1.15,N,2024-08
2024-08-02,01:00,ECRS,0.9,N,2024-08
2024-08-02,02:00,NSPIN,0.2,N,2024-08
2024-08-02,02:00,RRS,0.9,N,2024-08
2024-08-02,02:00,REGUP,0.94,N,2024-08
2024-08-02,02:00,REGDN,0.99,N,2024-08
2024-08-02,02:00,ECRS,0.9,N,2024-08
2024-08-02,03:00,REGDN,0.79,N,2024-08
2024-08-02,03:00,REGUP,0.8,N,2024-08
2024-08-02,03:00,RRS,0.8,N,2024-08
2024-08-02,03:00,NSPIN,0.2,N,2024-08
2024-08-02,03:00,ECRS,0.8,N,2024-08
2024-08-02,04:00,REGDN,0.79,N,2024-08
2024-08-02,04:00,REGUP,0.9,N,2024-08
2024-08-02,04:00,RRS,0.8,N,2024-08
2024-08-02,04:00,NSPIN,0.2,N,2024-08
2024-08-02,04:00,ECRS,0.8,N,2024-08
2024-08-02,05:00,REGUP,0.97,N,2024-08
2024-08-02,05:00,REGDN,0.79,N,2024-08
2024-08-02,05:00,RRS,0.81,N,2024-08
2024-08-02,05:00,ECRS,0.81,N,2024-08
2024-08-02,05:00,NSPIN,0.2,N,2024-08
2024-08-02,06:00,NSPIN,0.2,N,2024-08
2024-08-02,06:00,RRS,0.95,N,2024-08
2024-08-02,06:00,REGUP,1.32,N,2024-08
2024-08-02,06:00,REGDN,0.79,N,2024-08
2024-08-02,06:00,ECRS,0.9,N,2024-08
2024-08-02,07:00,NSPIN,1.0,N,2024-08
2024-08-02,07:00,RRS,1.0,N,2024-08
2024-08-02,07:00,REGUP,1.6,N,2024-08
2024-08-02,07:00,REGDN,0.79,N,2024-08
2024-08-02,07:00,ECRS,0.9,N,2024-08
2024-08-02,08:00,REGDN,2.09,N,2024-08
2024-08-02,08:00,REGUP,1.6,N,2024-08
2024-08-02,08:00,RRS,1.0,N,2024-08
2024-08-02,08:00,NSPIN,1.0,N,2024-08
2024-08-02,08:00,ECRS,1.0,N,2024-08
2024-08-02,09:00,REGDN,1.49,N,2024-08
