DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag,Month
2025-01-02,01:00,RRS,0.5,N,2025-01
2025-01-02,01:00,NSPIN,0.2,N,2025-01
2025-01-02,01:00,REGUP,1.74,N,2025-01
2025-01-02,01:00,REGDN,1.53,N,2025-01
2025-01-02,01:00,ECRS,0.03,N,2025-01
2025-01-02,02:00,REGDN,1.05,N,2025-01
2025-01-02,02:00,REGUP,1.06,N,2025-01
2025-01-02,02:00,RRS,0.5,N,2025-01
2025-01-02,02:00,NSPIN,0.2,N,2025-01
2025-01-02,02:00,ECRS,0.03,N,2025-01
2025-01-02,03:00,REGUP,1.06,N,2025-01
2025-01-02,03:00,REGDN,0.52,N,2025-01
2025-01-02,03:00,RRS,0.5,N,2025-01
2025-01-02,03:00,ECRS,0.03,N,2025-01
2025-01-02,03:00,NSPIN,0.5,N,2025-01
2025-01-02,04:00,REGDN,0.5,N,2025-01
2025-01-02,04:00,REGUP,1.06,N,2025-01
2025-01-02,04:00,RRS,0.5,N,2025-01
2025-01-02,04:00,NSPIN,0.5,N,2025-01
2025-01-02,04:00,ECRS,0.03,N,2025-01
2025-01-02,05:00,REGDN,0.58,N,2025-01
2025-01-02,05:00,REGUP,1.25,N,2025-01
2025-01-02,05:00,NSPIN,0.5,N,2025-01
2025-01-02,05:00,RRS,0.5,N,2025-01
2025-01-02,05:00,ECRS,0.03,N,2025-01
2025-01-02,06:00,NSPIN,0.5,N,2025-01
2025-01-02,06:00,RRS,0.5,N,2025-01
2025-01-02,06:00,REGUP,1.06,N,2025-01
2025-01-02,06:00,REGDN,1.53,N,2025-01
2025-01-02,06:00,ECRS,0.04,N,2025-01
2025-01-02,07:00,NSPIN,1.01,N,2025-01
2025-01-02,07:00,RRS,1.0,N,2025-01
2025-01-02,07:00,REGUP,1.0,N,2025-01
2025-01-02,07:00,REGDN,1.53,N,2025-01
2025-01-02,07:00,ECRS,0.04,N,2025-01
2025-01-02,08:00,REGDN,2.38,N,2025-01
2025-01-02,08:00,REGUP,0.73,N,2025-01
2025-01-02,08:00,RRS,1.0,N,2025-01
2025-01-02,08:00,NSPIN,1.0,N,2025-01
2025-01-02,08:00,ECRS,0.05,N,2025-01
2025-01-02,09:00,NSPIN,1.01,N,2025-01
2025-01-02,09:00,RRS,1.01,N,2025-01
2025-01-02,09:00,REGUP,1.01,N,2025-01
2025-01-02,09:00,REGDN,1.17,N,2025-01
2025-01-02,09:00,ECRS,1.01,N,2025-01
2025-01-02,10:00,REGUP,1.52,N,2025-01
2025-01-02,10:00,REGDN,0.79,N,2025-01
2025-01-02,10:00,RRS,1.02,N,2025-01
2025-01-02,10:00,NSPIN,1.02,N,2025-01
2025-01-02,10:00,ECRS,1.02,N,2025-01
2025-01-02,11:00,REGUP,1.5,N,2025-01
2025-01-02,11:00,REGDN,0.79,N,2025-01
2025-01-02,11:00,RRS,1.0,N,2025-01
2025-01-02,11:00,ECRS,1.0,N,2025-01
2025-01-02,11:00,NSPIN,1.0,N,2025-01
2025-01-02,12:00,REGDN,0.79,N,2025-01
2025-01-02,12:00,REGUP,1.25,N,2025-01
2025-01-02,12:00,NSPIN,0.97,N,2025-01
2025-01-02,12:00,RRS,0.5,N,2025-01
2025-01-02,12:00,ECRS,0.34,N,2025-01
2025-01-02,13:00,REGDN,0.98,N,2025-01
2025-01-02,13:00,REGUP,1.25,N,2025-01
2025-01-02,13:00,RRS,0.5,N,2025-01
2025-01-02,13:00,NSPIN,0.96,N,2025-01
2025-01-02,13:00,ECRS,0.06,N,2025-01
2025-01-02,14:00,REGDN,0.98,N,2025-01
2025-01-02,14:00,REGUP,1.25,N,2025-01
2025-01-02,14:00,RRS,0.5,N,2025-01
2025-01-02,14:00,NSPIN,0.92,N,2025-01
2025-01-02,14:00,ECRS,0.24,N,2025-01
2025-01-02,15:00,REGDN,0.98,N,2025-01
2025-01-02,15:00,REGUP,1.25,N,2025-01
2025-01-02,15:00,RRS,0.5,N,2025-01
2025-01-02,15:00,NSPIN,0.9,N,2025-01
2025-01-02,15:00,ECRS,0.5,N,2025-01
2025-01-02,16:00,REGUP,1.25,N,2025-01
2025-01-02,16:00,REGDN,0.98,N,2025-01
2025-01-02,16:00,RRS,0.5,N,2025-01
2025-01-02,16:00,ECRS,0.24,N,2025-01
2025-01-02,16:00,NSPIN,0.58,N,2025-01
2025-01-02,17:00,REGDN,4.13,N,2025-01
